name,size_KB,size_MB,test_acc
colabnas_k_8,46.04,0.04604,0.7426742225888598
own_baseline,32.232,0.032232,0.7483590975933432
new_baseline,35.264,0.035264,0.7468526953839533
sepconv,28.672,0.028672,0.7589577131379792
PRU_sepconv,28.672,0.028672,0.7527527707040637
mcunet_vww1,643.2,0.6432,0.7853197518023026
QAT_colabnas_k_8,47.04,0.04704,0.7437143574477243
QAT_sepconv,29.056,0.029056,0.6963882213693914
QAT_colabnas_k_8,47.04,0.04704,0.7301388042035795
QAT_colabnas_k_8,47.04,0.04704,0.737670815250529
QAT_sepconv,29.056,0.029056,0.7370252143036476
